level	number	indep(index, 1)	PAE_contours_p[0, 0, ::]
1.34437967409404640E1	1	32	4.57685348065452490E-1 / -8.18118824598149350E1
1.34437967409404640E1	1	33	4.60553350866017470E-1 / -8.08819551193927390E1
1.34437967409404640E1	1	34	4.80807150585413370E-1 / -7.47024881747011180E1
1.34437967409404640E1	1	35	4.80937977999198550E-1 / -7.46565721739578430E1
1.34437967409404640E1	1	36	4.83227807394668130E-1 / -7.39044943739212100E1
1.34437967409404640E1	1	37	5.03528299729732960E-1 / -6.84429463739669510E1
1.34437967409404640E1	1	38	5.04225654610621990E-1 / -6.82953412676132210E1
1.34437967409404640E1	1	39	5.29234637814512170E-1 / -6.17873882990905620E1
1.34437967409404640E1	1	40	5.29645818320706590E-1 / -6.17168118757349670E1
1.34437967409404640E1	1	41	5.35006967074407760E-1 / -6.02054202556535060E1
1.34437967409404640E1	1	42	5.58365992385584690E-1 / -5.43756158323086150E1
1.34437967409404640E1	1	43	5.67373390189863350E-1 / -5.04597831214621010E1
1.34437967409404640E1	1	44	5.96538704414339090E-1 / -4.35525233453977820E1

level	number	indep(index, 1)	PAE_contours_p[1, 0, ::]
1.74437967409404630E1	1	0	5.98999970429647630E-1 / 1.11546209822567710E2
1.74437967409404630E1	1	1	5.82977054119672380E-1 / 1.13862724824894630E2
1.74437967409404630E1	1	2	5.69943004306966470E-1 / 1.15686000081148820E2
1.74437967409404630E1	1	3	5.59699886721480850E-1 / 1.17444707686953430E2
1.74437967409404630E1	1	4	5.41203212842743310E-1 / 1.20920973546316660E2
1.74437967409404630E1	1	5	5.26889256903868650E-1 / 1.23038376174899190E2
1.74437967409404630E1	1	6	4.88794569313945800E-1 / 1.29327562765033880E2
1.74437967409404630E1	1	7	4.86283460287407280E-1 / 1.29854236717974000E2
1.74437967409404630E1	1	8	4.85275063365368990E-1 / 1.30057585583296700E2
1.74437967409404630E1	1	9	4.43647269675559470E-1 / 1.37426482180270600E2
1.74437967409404630E1	1	10	4.31701674458109070E-1 / 1.39812811503965920E2
1.74437967409404630E1	1	11	4.01101993395380420E-1 / 1.45940134084149560E2
